City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Yining,CN,2022-04-05 20:08:53,29.0361,114.5636,56.01,89,99,1.01
110,Georgetown,MY,2022-04-05 19:56:41,5.4112,100.3354,78.73,99,40,3.44
111,Jutai,BR,2022-04-05 20:08:53,-5.1833,-68.9,73.53,99,100,0.25
112,Kathmandu,NP,2022-04-05 20:08:53,27.7167,85.3167,66.42,72,20,2.3
113,Mahebourg,MU,2022-04-05 20:00:10,-20.4081,57.7,78.26,84,68,11.18
114,Pemba,MZ,2022-04-05 20:08:54,-12.974,40.5178,81.16,74,0,7.49
115,Bredasdorp,ZA,2022-04-05 20:08:54,-34.5322,20.0403,60.48,69,0,14.67
116,Bethel,US,2022-04-05 19:55:42,41.3712,-73.414,60.35,46,90,1.99
117,Ust-Tsilma,RU,2022-04-05 20:08:54,65.441,52.1498,-1.86,100,84,1.45
118,Gubkinskiy,RU,2022-04-05 20:08:55,64.434,76.5026,33.55,98,100,25.79
119,Mahanoro,MG,2022-04-05 20:08:55,-19.9,48.8,75.78,91,63,3.13
120,Wahiawa,US,2022-04-05 20:08:55,21.5028,-158.0236,79.12,68,100,10.36
121,Cape Town,ZA,2022-04-05 19:56:08,-33.9258,18.4232,59.88,86,20,9.22
122,Dhidhdhoo,MV,2022-04-05 20:08:56,6.8833,73.1,83.44,68,19,2.24
123,Hamilton,US,2022-04-05 20:08:32,39.1834,-84.5333,55.76,94,100,3.0
124,Villahermosa,MX,2022-04-05 20:08:30,17.9833,-92.9167,99.01,40,0,4.61
125,Luderitz,NA,2022-04-05 20:08:56,-26.6481,15.1594,61.61,79,0,12.75
126,Itambacuri,BR,2022-04-05 20:08:57,-18.0311,-41.685,81.63,54,6,4.59
127,Goure,NE,2022-04-05 20:08:57,13.9835,10.2704,87.66,6,100,8.08
128,Mayo,US,2022-04-05 20:08:57,38.8876,-76.5119,59.18,91,100,5.01
129,Vegreville,CA,2022-04-05 20:04:45,53.5001,-112.0518,34.95,91,100,23.67
130,Sorland,NO,2022-04-05 20:06:17,67.667,12.6934,33.78,60,100,25.34
131,Souillac,MU,2022-04-05 20:06:40,-20.5167,57.5167,77.38,94,75,3.44
132,Pisco,PE,2022-04-05 20:08:58,-13.7,-76.2167,75.25,64,0,17.27
133,Longyearbyen,SJ,2022-04-05 20:08:37,78.2186,15.6401,10.24,61,0,13.8
134,Salinopolis,BR,2022-04-05 20:08:58,-0.6136,-47.3561,77.2,91,98,5.35
135,San Cristobal,VE,2022-04-05 20:08:59,7.7669,-72.225,80.78,50,95,4.34
136,Lompoc,US,2022-04-05 20:05:56,34.6391,-120.4579,86.56,49,0,16.11
137,Fare,PF,2022-04-05 20:08:59,-16.7,-151.0167,82.81,75,5,21.3
138,La Trinitaria,MX,2022-04-05 20:09:59,16.1167,-92.05,86.58,26,0,8.93
139,Weiser,US,2022-04-05 20:10:00,44.251,-116.9693,52.0,42,99,7.0
140,Basco,PH,2022-04-05 20:10:00,20.4487,121.9702,74.43,76,100,21.07
141,Lakatoro,VU,2022-04-05 20:10:00,-16.0999,167.4164,82.04,80,100,13.85
142,Bathsheba,BB,2022-04-05 20:10:01,13.2167,-59.5167,83.01,61,20,8.05
143,Henties Bay,NA,2022-04-05 20:05:38,-22.116,14.2845,61.86,78,0,10.36
144,Hajnowka,PL,2022-04-05 20:10:01,52.7433,23.5812,32.02,91,100,1.01
145,Lazurne,UA,2022-04-05 20:10:01,46.084,32.5295,44.83,90,13,19.71
146,Talnakh,RU,2022-04-05 20:10:02,69.4865,88.3972,8.26,77,54,7.81
147,Hebi,CN,2022-04-05 20:10:02,35.8992,114.1925,57.99,46,0,7.27
148,Piranhas,BR,2022-04-05 20:08:31,-16.4269,-51.8222,86.31,59,1,3.67
149,Deniliquin,AU,2022-04-05 20:10:03,-35.5333,144.9667,56.64,68,100,5.12
150,Khani,GE,2022-04-05 20:10:03,41.9563,42.9566,38.77,96,100,3.87
151,Saint-Georges,GD,2022-04-05 20:10:04,12.0564,-61.7485,80.42,72,98,16.33
152,Charlestown,AU,2022-04-05 20:10:04,-32.95,151.6667,66.72,96,2,3.0
153,Port Lincoln,AU,2022-04-05 19:57:48,-34.7333,135.8667,60.1,80,10,13.82
154,Dawei,MM,2022-04-05 20:10:04,14.0833,98.2,76.15,70,85,3.11
155,Barstow,US,2022-04-05 20:10:05,34.8986,-117.0228,81.59,27,0,9.55
156,Kloulklubed,PW,2022-04-05 20:10:05,7.0419,134.2556,82.06,77,100,5.03
157,Hambantota,LK,2022-04-05 20:10:05,6.1241,81.1185,77.47,84,31,4.38
158,Trinidad,BO,2022-04-05 20:09:50,-14.8333,-64.9,87.8,57,75,1.05
159,Vostok,RU,2022-04-05 20:10:06,46.4856,135.8833,21.27,83,100,13.56
160,Emba,KZ,2022-04-05 20:10:06,48.8264,58.1442,40.23,68,100,3.49
161,Aykhal,RU,2022-04-05 20:09:13,66.0,111.5,-8.54,100,100,4.34
162,Broken Hill,AU,2022-04-05 20:06:39,-31.95,141.4333,62.62,45,98,12.64
163,Hasaki,JP,2022-04-05 20:10:07,35.7333,140.8333,48.6,76,100,6.44
164,Marsh Harbour,BS,2022-04-05 20:10:07,26.5412,-77.0636,77.47,76,75,15.43
165,Atherton,GB,2022-04-05 20:10:07,53.5237,-2.4935,51.75,86,100,5.01
166,Luganville,VU,2022-04-05 20:08:52,-15.5333,167.1667,80.96,83,100,12.06
167,Usinsk,RU,2022-04-05 20:10:08,65.9939,57.5281,3.69,96,100,9.35
168,Cervo,ES,2022-04-05 20:10:08,43.6702,-7.4101,49.96,77,4,7.61
169,Laguna,US,2022-04-05 20:10:08,38.421,-121.4238,71.89,26,0,17.27
170,Galesong,ID,2022-04-05 20:10:09,-5.3166,119.3661,73.42,82,24,2.75
171,Hanyang,CN,2022-04-05 20:10:09,32.1371,105.5126,51.26,89,77,0.85
172,Ballina,AU,2022-04-05 20:10:09,-28.8667,153.5667,68.18,99,32,1.59
173,Honiara,SB,2022-04-05 20:10:10,-9.4333,159.95,77.31,95,100,6.96
174,Olafsvik,IS,2022-04-05 20:07:30,64.8945,-23.7142,28.26,67,88,32.61
175,Isangel,VU,2022-04-05 20:10:10,-19.55,169.2667,79.45,83,100,7.25
176,Macomb,US,2022-04-05 20:09:33,40.4592,-90.6718,51.84,89,100,12.66
177,Ahipara,NZ,2022-04-05 20:07:53,-35.1667,173.1667,67.1,93,98,7.02
178,Bambous Virieux,MU,2022-04-05 20:10:11,-20.3428,57.7575,78.22,94,75,3.44
179,Codrington,AU,2022-04-05 20:00:16,-38.2667,141.9667,58.69,79,100,10.56
180,Birao,CF,2022-04-05 20:10:11,10.2849,22.7882,87.96,23,7,4.38
181,Kaitangata,NZ,2022-04-05 20:10:11,-46.2817,169.8464,50.67,73,69,13.53
182,Acarau,BR,2022-04-05 20:10:12,-2.8856,-40.12,81.23,82,16,10.18
