City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
338,Ducheng,CN,74.28,clear sky,23.2373,111.5317,Xinyongguang Hotel
342,Kloulklubed,PW,75.7,moderate rain,7.0419,134.2556,Storyboard Beach Resort
355,Moron,AR,73.96,clear sky,-34.6534,-58.6198,Hotel Morón
359,Rawah,IQ,92.26,overcast clouds,34.4816,41.9093,
360,Monte Santo,BR,84.63,broken clouds,-10.4378,-39.3328,Pousada Pingo D'Água
362,Faya,SA,80.71,clear sky,18.3851,42.4509,املاك خالد الشعشوع
365,Araguacu,BR,87.19,clear sky,-12.9306,-49.8264,Hotel Tocantins
366,Nhulunbuy,AU,79.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
371,San Lucas,MX,70.56,overcast clouds,16.6,-92.7167,"Posada "" El rapidin"""
372,Dhidhdhoo,MV,84.7,scattered clouds,6.8833,73.1,Dhidhoo beach
376,Jeremie,HT,81.18,scattered clouds,18.65,-74.1167,Auberge’Inn
377,Sassandra,CI,87.35,overcast clouds,4.95,-6.0833,la terrasse
378,Carutapera,BR,75.7,light rain,-1.195,-46.02,Lidera
380,Port-Gentil,GA,81.21,light rain,-0.7193,8.7815,Fengshui Residence
381,Amalapuram,IN,78.66,broken clouds,16.5833,82.0167,swayamprabha service apartments
382,Kavaratti,IN,84.94,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
384,Bowen,AU,78.21,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
391,Bam,IR,92.46,clear sky,29.106,58.357,Bam Tourist Hotel
392,Nampula,MZ,85.95,scattered clouds,-15.1165,39.2666,Ruby Backpackers
394,Bonfim,BR,79.18,overcast clouds,3.0833,-59.95,
396,Sao Joao De Pirabas,BR,74.86,very heavy rain,-0.7747,-47.1772,POUSADA SOL E MAR
403,Tshikapa,CD,90.0,few clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
405,Sibolga,ID,77.95,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
407,Lucapa,AO,84.97,scattered clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
409,Lar,IN,91.15,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
413,Monduli,TZ,75.69,broken clouds,-3.3,36.45,Monduli Lutheran Youth Hostel
420,Ho Chi Minh City,VN,84.22,few clouds,10.75,106.6667,Windsor Plaza Hotel
422,Kiunga,PG,73.94,light rain,-6.1219,141.2906,Airport Lodge Kiunga
425,Shiraz,IR,78.24,broken clouds,29.6036,52.5388,Shams Hotel
427,Yenagoa,NG,91.15,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
428,Lilongwe,MW,75.4,moderate rain,-13.9669,33.7873,Spendwise furnished apartments.
430,Lazaro Cardenas,MX,74.44,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
433,Lagos,NG,91.72,overcast clouds,6.5833,3.75,
437,Vangaindrano,MG,78.19,broken clouds,-23.35,47.6,Hotel Fanilo
441,Lundazi,ZM,73.26,moderate rain,-12.2929,33.1782,Knox Lodge
444,San Juan,AR,77.25,clear sky,-31.5375,-68.5364,Hotel Provincial
445,Pontianak,ID,76.98,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
446,Santa Fe,AR,78.01,few clouds,-31.6333,-60.7,Conquistador Hotel
447,Kalmunai,LK,80.38,broken clouds,7.4167,81.8167,VS Villa
448,Mbaiki,CF,90.57,broken clouds,3.8678,17.9892,Motel MBM
