City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
217,Sao Filipe,CV,14.8961,-24.4956,77.13,64,1,12.3,clear sky
218,Berlevag,NO,70.8578,29.0864,31.8,77,96,22.75,overcast clouds
219,Saldanha,ZA,-33.0117,17.9442,78.85,45,0,17.07,clear sky
220,San Patricio,US,28.017,-97.5169,63.93,40,0,5.1,clear sky
221,Nanortalik,GL,60.1432,-45.2371,29.55,76,16,7.96,few clouds
222,Mitu,CO,1.1983,-70.1733,72.7,98,100,1.99,overcast clouds
223,Sandpoint,US,48.2766,-116.5533,42.98,87,0,0.0,clear sky
224,Buluang,PH,13.3068,123.3425,72.91,86,100,2.98,overcast clouds
225,Lorengau,PG,-2.0226,147.2712,79.59,88,100,11.9,moderate rain
226,Bereda,ES,43.2686,-7.5406,59.14,76,100,8.3,overcast clouds
227,Cam Ranh,VN,11.9214,109.1591,76.96,69,0,14.97,clear sky
228,Ixtapa,MX,20.7,-105.2,68.23,94,40,3.44,scattered clouds
229,Iralaya,HN,15.0,-83.2333,81.39,69,100,6.4,overcast clouds
230,Stulovo,RU,58.7225,50.1439,34.79,100,100,6.44,overcast clouds
231,Gouyave,GD,12.1646,-61.7296,83.17,65,20,23.02,few clouds
232,Komsomolskiy,UZ,40.4272,71.7189,79.52,24,100,2.3,overcast clouds
233,Beisfjord,NO,68.3751,17.5988,35.65,72,100,6.49,overcast clouds
234,Meulaboh,ID,4.1363,96.1285,79.21,82,85,3.94,overcast clouds
235,Pontian Kecil,MY,1.4801,103.3899,79.12,80,42,2.04,scattered clouds
236,Batemans Bay,AU,-35.7167,150.1833,65.1,91,99,5.79,light rain
237,Kusti,SD,13.1629,32.6635,105.17,16,9,6.11,clear sky
238,Vanimo,PG,-2.6741,141.3028,78.37,89,100,6.44,overcast clouds
239,Mercedes,AR,-34.6515,-59.4307,72.64,54,0,7.54,clear sky
240,Poum,NC,-20.2333,164.0167,80.51,80,100,11.25,overcast clouds
241,Senno,RU,59.5336,33.9167,47.75,81,100,14.61,overcast clouds
242,Adelanto,US,34.5828,-117.4092,67.57,16,0,0.45,clear sky
243,Mar Del Plata,AR,-38.0023,-57.5575,69.1,94,75,6.91,light rain
244,Lebork,PL,54.5392,17.7501,47.75,49,17,20.71,few clouds
245,Necochea,AR,-38.5473,-58.7368,65.08,70,92,8.03,moderate rain
246,Otjiwarongo,NA,-20.4637,16.6477,84.69,24,8,4.43,clear sky
247,Korla,CN,41.7597,86.1469,74.37,12,100,4.92,overcast clouds
248,Zholymbet,KZ,51.7433,71.7122,36.34,83,23,10.49,few clouds
249,Stornoway,GB,58.2093,-6.3865,45.93,65,75,12.66,broken clouds
250,Upington,ZA,-28.4478,21.2561,80.98,18,0,1.14,clear sky
251,Aswan,EG,24.0934,32.907,108.7,5,0,6.91,clear sky
252,Veraval,IN,20.9,70.3667,87.67,45,51,17.45,broken clouds
253,Tecoanapa,MX,16.5167,-98.75,79.61,62,33,1.57,scattered clouds
254,Paamiut,GL,61.994,-49.6678,24.84,77,49,15.35,scattered clouds
255,Mehamn,NO,71.0357,27.8492,33.71,78,72,21.32,broken clouds
256,Kolomak,UA,49.8399,35.3044,57.06,64,100,8.46,overcast clouds
257,Isangel,VU,-19.55,169.2667,80.49,85,100,9.75,overcast clouds
258,Lidkoping,SE,58.5052,13.1577,33.82,87,100,15.35,overcast clouds
259,Victoria,HK,22.2855,114.1577,74.32,69,0,15.99,clear sky
260,Saint George,US,37.1041,-113.5841,53.94,22,0,4.61,clear sky
261,Severnyy,RU,50.677,36.5532,64.44,34,0,13.42,clear sky
